site,date,time,datetime,manual_stage_cm,sensor_stage_cm,discharge_Ls,slug_mass_g,bck_cond_uS
michiganditch,6/14/2021,15:20,6/14/2021 15:20,21,,51.43864,100,47.7
michiganditch,6/14/2021,15:20,6/14/2021 15:20,21,,50.96882,100,47.7
michiganditch,6/21/2021,11:15,6/21/2021 11:15,16,,25.325,100,57.3
michiganditch,6/21/2021,11:15,6/21/2021 11:15,16,,25.317,100,57.3
michiganditch,7/2/2021,11:15,7/2/2021 11:15,11,,21.7,100,71.6
michiganditch,7/2/2021,11:15,7/2/2021 11:15,11,,22.9,100,72.3
michiganditch,7/12/2021,10:45,7/12/2021 10:45,10,,14.3,100,79.1
michiganditch,7/12/2021,10:45,7/12/2021 10:45,10,,14.2,100,79.6
michiganditch,8/5/2021,11:45,8/5/2021 11:45,9,,5.5,100,82.9
michiganditch,8/5/2021,11:45,8/5/2021 11:45,9,,5.6,100,83.5
michiganditch,8/27/2021,11:40,8/27/2021 11:40,7,,3.58,100,89.4
michiganditch,8/27/2021,11:40,8/27/2021 11:40,7,,3.67,100,89.3
michiganditch,10/18/2021,10:30,10/18/2021 10:30,8,,6.3,100,107
michiganditch,10/18/2021,10:30,10/18/2021 10:30,8,,6.2,100,107
